year,state_fips,state_abbr,state_name,estimated_population,crimes_total,violent_total,property_total,homicide,forcible_rape_legacy,forcible_rape_revised,robbery,aggravated_assault,burglary,larcent_theft,motor_vehicle_theft
1960,1,AL,Alabama,3266740,39920,6097,33823,406,281,,898,4512,11626,19344,2853
1961,1,AL,Alabama,3302000,38105,5564,32541,427,252,,630,4255,11205,18801,2535
1962,1,AL,Alabama,3358000,41112,5283,35829,316,218,,754,3995,11722,21306,2801
1963,1,AL,Alabama,3347000,44636,6115,38521,340,192,,828,4755,12614,22874,3033
1964,1,AL,Alabama,3407000,53550,7260,46290,316,397,,992,5555,15898,26713,3679
1965,1,AL,Alabama,3462000,55131,6916,48215,395,367,,992,5162,16398,28115,3702
1966,1,AL,Alabama,3517000,61838,8098,53740,384,341,,1124,6249,18551,30583,4606
1967,1,AL,Alabama,3540000,65527,8448,57079,415,371,,1167,6495,20227,31682,5170
1968,1,AL,Alabama,3566000,71285,8288,62997,421,396,,1462,6009,22403,34508,6086
1969,1,AL,Alabama,3531000,75090,8842,66248,485,494,,1448,6415,23559,36644,6045
1970,1,AL,Alabama,3444165,85399,10185,75214,404,637,,1731,7413,26739,40779,7696
1971,1,AL,Alabama,3479000,86919,10835,76084,524,661,,2005,7645,27547,40841,7696
1972,1,AL,Alabama,3510000,84047,10994,73053,496,660,,2407,7431,27714,38493,6846
1973,1,AL,Alabama,3539000,91389,12390,78999,468,751,,2809,8362,31754,39206,8039
1974,1,AL,Alabama,3577000,107314,13338,93976,536,811,,3562,8429,37841,46813,9322
1975,1,AL,Alabama,3614000,125497,14201,111296,577,738,,4446,8440,42059,59470,9767
1976,1,AL,Alabama,3665000,139573,14248,125325,553,794,,3520,9381,42879,72832,9614
1977,1,AL,Alabama,3690000,136995,15293,121702,524,929,,3572,10268,41901,69442,10359
1978,1,AL,Alabama,3742000,147389,15682,131707,499,954,,3708,10521,46001,74387,11319
1979,1,AL,Alabama,3769000,159950,15578,144372,496,1037,,4127,9918,48517,83791,12064
1980,1,AL,Alabama,3861466,190511,17320,173191,509,1158,,5102,10551,58952,102029,12210
1981,1,AL,Alabama,3916000,191834,18423,173411,465,1021,,4952,11985,56811,105471,11129
1982,1,AL,Alabama,3943000,182701,17653,165048,417,1026,,4417,11793,49531,104740,10777
1983,1,AL,Alabama,3959000,162361,16471,145890,364,931,,3895,11281,42485,94279,9126
1984,1,AL,Alabama,3990000,155691,17204,138487,374,1002,,3833,11995,39970,89198,9319
1985,1,AL,Alabama,4021000,158513,18398,140115,396,1079,,4237,12686,41612,88108,10395
1986,1,AL,Alabama,4053000,173807,22616,151191,409,1150,,4523,16534,46974,93396,10821
1987,1,AL,Alabama,4083000,181751,22833,158918,380,1137,,4581,16735,48927,99260,10731
1988,1,AL,Alabama,4127000,188261,23052,165209,408,1228,,4860,16556,50920,103282,11007
1989,1,AL,Alabama,4118000,190573,24329,166244,421,1276,,5515,17117,47224,106771,12249
1990,1,AL,Alabama,4040587,198604,28630,169974,467,1319,,5805,21039,44585,111336,14053
1991,1,AL,Alabama,4089000,219400,34518,184882,469,1455,,6246,26348,51873,118151,14858
1992,1,AL,Alabama,4136000,217889,36052,181837,455,1704,,6819,27074,49053,117801,14983
1993,1,AL,Alabama,4187000,204274,32676,171598,484,1471,,6677,24044,45578,111878,14142
1994,1,AL,Alabama,4219000,206859,28844,178015,501,1487,,7223,19633,44064,119951,14000
1995,1,AL,Alabama,4253000,206188,26894,179294,475,1350,,7900,17169,43586,120967,14741
1996,1,AL,Alabama,4273000,205962,24159,181803,444,1397,,7124,15194,42821,123350,15632
1997,1,AL,Alabama,4319000,211188,24379,186809,426,1396,,6931,15626,43786,127616,15407
1998,1,AL,Alabama,4352000,200065,22286,177779,354,1443,,5698,14791,41965,120943,14871
1999,1,AL,Alabama,4369862,192819,21421,171398,345,1513,,5297,14266,38648,119616,13134
2000,1,AL,Alabama,4447100,202159,21620,180539,329,1482,,5702,14107,40331,127399,12809
2001,1,AL,Alabama,4468912,192835,19582,173253,379,1369,,5584,12250,40642,119992,12619
2002,1,AL,Alabama,4478896,200331,19931,180400,303,1664,,5962,12002,42578,123932,13890
2003,1,AL,Alabama,4503726,201572,19331,182241,299,1656,,6038,11338,43245,124039,14957
2004,1,AL,Alabama,4525375,201664,19324,182340,254,1742,,6042,11286,44666,123650,14024
2005,1,AL,Alabama,4548327,197071,19678,177393,374,1564,,6447,11293,43473,120780,13140
2006,1,AL,Alabama,4599030,200802,19553,181249,382,1646,,7062,10463,44780,121451,15018
2007,1,AL,Alabama,4627851,204857,20775,184082,412,1548,,7398,11417,45379,124465,14238
2008,1,AL,Alabama,4661900,211526,21110,190416,351,1618,,7346,11795,50411,126539,13466
2009,1,AL,Alabama,4708708,199201,21194,178007,322,1504,,6265,13103,48844,118072,11091
2010,1,AL,Alabama,4785401,187191,18363,168828,275,1355,,4864,11869,42484,115564,10780
2011,1,AL,Alabama,4803689,193358,20166,173192,299,1370,,4906,13591,51119,111411,10662
2012,1,AL,Alabama,4817528,190571,21693,168878,342,1296,,5020,15035,47481,111523,9874
2013,1,AL,Alabama,4833996,182669,20834,161835,346,1449,2055,4645,13788,42410,108862,10563
2014,1,AL,Alabama,4846411,174814,20727,154087,276,1425,2005,4702,13744,39723,104223,10141
2015,1,AL,Alabama,4853875,167742,22957,144785,348,1449,2037,4612,15960,35265,99182,10338
2016,1,AL,Alabama,4860545,169137,25878,143259,407,1380,1915,4687,18869,34045,97498,11716
2017,1,AL,Alabama,4875120,169243,25469,143774,419,,2001,4233,18816,31270,99707,12797
2018,1,AL,Alabama,4887681,164269,25567,138702,383,,2032,4047,19105,29101,96328,13273
2019,1,AL,Alabama,4907965,153495,24769,128726,390,,2119,3922,18338,24805,91225,12696
2020,1,AL,Alabama,4921532,127483,22322,105161,471,,1608,2666,17577,19660,74575,10926
1960,2,AK,Alaska,226167,3730,236,3494,23,47,,64,102,751,2195,548
1961,2,AK,Alaska,234000,3813,208,3605,27,31,,29,121,891,2223,491
1962,2,AK,Alaska,246000,4074,225,3849,11,46,,34,134,865,2424,560
1963,2,AK,Alaska,248000,5115,272,4843,16,37,,55,164,946,3010,887
1964,2,AK,Alaska,250000,5415,375,5040,26,56,,53,240,1109,3046,885
1965,2,AK,Alaska,253000,6587,377,6210,16,45,,101,215,1403,3777,1030
1966,2,AK,Alaska,272000,7577,409,7168,35,53,,98,223,1613,4354,1201
1967,2,AK,Alaska,272000,7846,437,7409,26,48,,96,267,1873,4436,1100
1968,2,AK,Alaska,277000,9199,486,8713,29,60,,146,251,2070,5307,1336
1969,2,AK,Alaska,282000,10942,624,10318,30,83,,190,321,2455,6195,1668
1970,2,AK,Alaska,302173,11488,840,10648,37,79,,217,507,2387,6595,1666
1971,2,AK,Alaska,313000,13035,1112,11923,42,136,,210,724,2656,7631,1636
1972,2,AK,Alaska,325000,14555,1204,13351,31,136,,216,821,3155,8577,1619
1973,2,AK,Alaska,330000,16313,1269,15044,33,147,,221,868,3852,9456,1736
1974,2,AK,Alaska,337000,17658,1527,16131,46,166,,298,1017,3932,10016,2183
1975,2,AK,Alaska,352000,21812,1900,19912,43,157,,456,1244,4275,12399,3238
1976,2,AK,Alaska,382000,23763,2063,21700,43,179,,477,1364,4653,13969,3078
1977,2,AK,Alaska,407000,24005,1804,22201,44,210,,394,1156,5420,13715,3066
1978,2,AK,Alaska,403000,24366,1781,22585,52,224,,368,1137,5397,14522,2666
1979,2,AK,Alaska,406000,25187,1994,23193,54,292,,445,1203,5616,15076,2501
1980,2,AK,Alaska,440142,24849,1919,22930,39,250,,360,1270,5545,14916,2469
1981,2,AK,Alaska,412000,27171,2537,24634,60,421,,472,1584,5479,16310,2845
1982,2,AK,Alaska,438000,27211,2732,24479,81,374,,586,1691,5204,16672,2603
1983,2,AK,Alaska,479000,28829,2940,25889,66,486,,465,1923,5720,17085,3084
1984,2,AK,Alaska,500000,30576,3108,27468,58,458,,547,2045,6184,18140,3144
1985,2,AK,Alaska,521000,30619,3031,27588,51,402,,484,2094,6209,18220,3159
1986,2,AK,Alaska,534000,33353,3046,30307,46,388,,470,2142,6204,20879,3224
1987,2,AK,Alaska,525000,28232,2391,25841,53,341,,384,1613,5093,18195,2553
1988,2,AK,Alaska,513000,25248,2682,22566,29,296,,374,1983,4321,15911,2334
1989,2,AK,Alaska,527000,25190,2623,22567,42,279,,356,1946,4358,15811,2398
1990,2,AK,Alaska,550043,28342,2885,25457,41,401,,422,2021,4919,17428,3110
1991,2,AK,Alaska,570000,32499,3499,29000,42,523,,645,2289,5582,20375,3043
1992,2,AK,Alaska,587000,32693,3877,28816,44,579,,640,2614,5170,20728,2918
1993,2,AK,Alaska,599000,33352,4557,28795,54,502,,733,3268,4893,21201,2701
1994,2,AK,Alaska,606000,34591,4644,29947,38,418,,886,3302,4848,21824,3275
1995,2,AK,Alaska,604000,34753,4656,30097,55,485,,937,3179,5055,21891,3151
1996,2,AK,Alaska,607000,33084,4417,28667,45,398,,710,3264,5118,20557,2992
1997,2,AK,Alaska,609000,32110,4270,27840,54,403,,648,3165,4276,20780,2784
1998,2,AK,Alaska,614000,29331,4015,25316,41,421,,532,3021,4098,18611,2607
1999,2,AK,Alaska,619500,27007,3908,23099,52,517,,566,2773,3787,16654,2658
2000,2,AK,Alaska,626932,26641,3554,23087,27,497,,490,2540,3899,16838,2350
2001,2,AK,Alaska,633630,26895,3735,23160,39,501,,514,2681,3847,16695,2618
2002,2,AK,Alaska,641482,27745,3627,24118,33,511,,489,2594,3908,17739,2471
2003,2,AK,Alaska,648280,28263,3877,24386,39,605,,446,2787,3874,18051,2461
2004,2,AK,Alaska,657755,26331,4159,22172,37,558,,447,3117,3773,16159,2240
2005,2,AK,Alaska,663253,28169,4194,23975,32,538,,537,3087,4131,17249,2595
2006,2,AK,Alaska,670053,28585,4610,23975,36,512,,600,3462,4155,17284,2536
2007,2,AK,Alaska,683478,27616,4520,23096,43,545,,581,3351,3734,16929,2433
2008,2,AK,Alaska,686293,24565,4475,20090,27,447,,645,3356,3237,15225,1628
2009,2,AK,Alaska,698473,24962,4424,20538,22,513,,654,3235,3600,15251,1687
2010,2,AK,Alaska,714146,24796,4537,20259,31,533,,594,3379,3105,15535,1619
2011,2,AK,Alaska,723860,23510,4416,19094,30,436,,576,3374,2852,14854,1388
2012,2,AK,Alaska,730307,24449,4412,20037,30,583,,630,3169,2950,15565,1522
2013,2,AK,Alaska,737259,25920,4709,21211,34,657,925,623,3127,2917,16599,1695
2014,2,AK,Alaska,737046,25018,4684,20334,41,553,771,629,3243,3150,15445,1739
2015,2,AK,Alaska,737709,26197,5391,20806,59,648,900,761,3671,3511,15249,2046
2016,2,AK,Alaska,741522,30842,5966,24876,52,754,1053,850,4011,4053,17766,3057
2017,2,AK,Alaska,739786,32541,6338,26203,62,,1074,952,4250,4167,17782,4254
2018,2,AK,Alaska,735139,30900,6555,24345,47,,1212,896,4400,3985,16364,3996
2019,2,AK,Alaska,733603,27639,6346,21293,69,,1102,826,4349,3558,15118,2617
2020,2,AK,Alaska,731158,22654,6126,16528,49,,1132,712,4233,2775,11784,1969
1960,4,AZ,Arizona,1302161,39243,2704,36539,78,209,,706,1711,8926,23207,4406
1961,4,AZ,Arizona,1391000,43592,2288,41304,84,200,,786,1218,10262,26099,4943
1962,4,AZ,Arizona,1509000,48304,2610,45694,86,198,,851,1475,11693,28605,5396
1963,4,AZ,Arizona,1559000,52921,3027,49894,93,222,,897,1815,12944,31213,5737
1964,4,AZ,Arizona,1581000,57632,3368,54264,83,259,,967,2059,13726,35190,5348
1965,4,AZ,Arizona,1608000,57049,3092,53957,80,286,,895,1831,13129,36208,4620
1966,4,AZ,Arizona,1618000,66917,3272,63645,98,296,,898,1980,15066,42555,6024
1967,4,AZ,Arizona,1634000,79052,3892,75160,91,273,,1224,2304,18583,49923,6654
1968,4,AZ,Arizona,1670000,81403,4402,77001,105,313,,1448,2536,19496,50471,7034
1969,4,AZ,Arizona,1693000,88452,5742,82710,102,390,,1692,3558,22053,53231,7426
1970,4,AZ,Arizona,1772482,104829,6564,98265,168,478,,2130,3788,26464,62918,8883
1971,4,AZ,Arizona,1849000,109858,7407,102451,124,553,,2095,4635,26549,67566,8336
1972,4,AZ,Arizona,1945000,115402,8731,106671,142,650,,2350,5589,31429,66883,8359
1973,4,AZ,Arizona,2058000,137966,9877,128089,167,637,,3031,6042,40301,76560,11228
1974,4,AZ,Arizona,2153000,177013,12202,164811,206,807,,4396,6793,54557,97286,12968
1975,4,AZ,Arizona,2224000,185515,12184,173331,191,789,,3780,7424,56265,105588,11478
1976,4,AZ,Arizona,2270000,179021,10335,168686,177,674,,2949,6535,53722,105389,9575
1977,4,AZ,Arizona,2296000,177875,11347,166528,217,786,,3173,7171,53866,102571,10091
1978,4,AZ,Arizona,2354000,178994,12996,165998,221,1040,,3835,7900,49023,106042,10933
1979,4,AZ,Arizona,2450000,192505,14528,177977,219,1120,,4305,8884,48916,116976,12085
1980,4,AZ,Arizona,2715357,221866,17673,204193,279,1227,,5258,10909,58527,132814,12852
1981,4,AZ,Arizona,2793000,212657,16082,196575,227,1064,,4961,9830,57655,127469,11451
1982,4,AZ,Arizona,2860000,203946,14785,189161,236,1100,,4537,8912,53861,124723,10577
1983,4,AZ,Arizona,2963000,189382,14642,174740,213,1241,,3923,9265,49440,114721,10579
1984,4,AZ,Arizona,3053000,198426,15756,182670,238,1316,,4003,10199,52327,118604,11739
1985,4,AZ,Arizona,3187000,226793,19202,207591,254,1458,,4670,12820,59585,135720,12286
1986,4,AZ,Arizona,3317000,242850,21835,221015,307,1425,,5614,14489,63278,143845,13892
1987,4,AZ,Arizona,3386000,243405,20742,222663,253,1396,,4687,14406,55059,153296,14308
1988,4,AZ,Arizona,3466000,258955,21147,237808,294,1345,,4750,14758,54773,167121,15914
1989,4,AZ,Arizona,3556000,286604,21320,265284,237,1286,,4944,14853,59284,181574,24426
1990,4,AZ,Arizona,3665228,289140,23911,265229,284,1500,,5897,16230,61206,172375,31648
1991,4,AZ,Arizona,3750000,277711,25152,252559,291,1590,,6215,17056,60281,159987,32291
1992,4,AZ,Arizona,3832000,269335,25706,243629,312,1647,,5867,17880,54095,158053,31481
1993,4,AZ,Arizona,3936000,292513,28142,264371,339,1488,,6412,19903,57684,172689,33998
1994,4,AZ,Arizona,4075000,322926,28653,294273,426,1465,,6601,20161,60157,190649,43467
1995,4,AZ,Arizona,4218000,346450,30095,316355,439,1418,,7329,20909,59762,207763,48830
1996,4,AZ,Arizona,4428000,312927,27963,284964,377,1381,,7429,18776,55630,188300,41034
1997,4,AZ,Arizona,4555000,327734,28411,299323,375,1492,,7547,18997,60077,195045,44201
1998,4,AZ,Arizona,4669000,306985,26984,280001,376,1451,,7715,17442,56473,183137,40391
1999,4,AZ,Arizona,4778332,281735,26334,255401,384,1383,,7288,17279,49423,167731,38247
2000,4,AZ,Arizona,5130632,299092,27281,271811,359,1577,,7504,17841,51902,176705,43204
2001,4,AZ,Arizona,5306966,322549,28675,293874,400,1518,,8868,17889,54821,186850,52203
2002,4,AZ,Arizona,5441125,348467,30171,318296,387,1608,,8000,20176,59087,201541,57668
2003,4,AZ,Arizona,5579222,342973,28638,314335,441,1856,,7619,18722,58613,198725,56997
2004,4,AZ,Arizona,5739879,320155,28952,291203,414,1896,,7721,18921,56885,179012,55306
2005,4,AZ,Arizona,5953007,317823,30478,287345,445,2006,,8579,19448,56328,176112,54905
2006,4,AZ,Arizona,6166318,327845,33456,294389,533,2449,,9491,20983,59418,178321,56650
2007,4,AZ,Arizona,6338755,320143,32835,287308,548,2353,,9764,20170,59988,177076,50244
2008,4,AZ,Arizona,6500180,298220,31567,266653,462,2200,,9809,19096,58606,169460,38587
2009,4,AZ,Arizona,6595778,264849,28128,236721,380,2279,,8199,17270,54308,155976,26437
2010,4,AZ,Arizona,6413158,253330,26528,226802,408,2191,,6953,16976,50932,154137,21733
2011,4,AZ,Arizona,6467315,256685,26789,229896,397,2499,,7145,16748,54695,155400,19801
2012,4,AZ,Arizona,6551149,259778,28077,231701,358,2282,,7383,18054,52911,159808,18982
2013,4,AZ,Arizona,6634997,250870,27576,223294,355,2344,3174,6656,17391,48292,158036,16966
2014,4,AZ,Arizona,6728783,239828,26422,213406,311,2356,3272,6225,16614,43412,152683,17311
2015,4,AZ,Arizona,6817565,235152,27968,207184,306,2268,3109,6360,18193,38010,152388,16786
2016,4,AZ,Arizona,6908642,239859,32542,207317,389,2461,3304,7045,21804,38216,150618,18483
2017,4,AZ,Arizona,7048876,240646,35647,204999,422,,3622,7440,24163,37722,148251,19026
2018,4,AZ,Arizona,7158024,226783,34053,192730,383,,3605,6509,23556,31787,141789,19154
2019,4,AZ,Arizona,7291843,210231,32603,177628,397,,3650,6305,22251,29170,130427,18031
2020,4,AZ,Arizona,7421401,201303,35980,165323,513,,3263,6211,25993,24488,122898,17937
1960,5,AR,Arkansas,1786272,18472,1924,16548,152,159,,443,1170,5399,10250,899
1961,5,AR,Arkansas,1797000,18645,1809,16836,163,130,,446,1070,5536,10211,1089
1962,5,AR,Arkansas,1823000,19866,1667,18199,144,124,,400,999,5683,11169,1347
1963,5,AR,Arkansas,1858000,21940,1991,19949,137,113,,466,1275,6087,12315,1547
1964,5,AR,Arkansas,1933000,26274,2641,23633,147,157,,565,1772,7135,14622,1876
1965,5,AR,Arkansas,1960000,24975,2662,22313,115,203,,465,1879,6344,14254,1715
1966,5,AR,Arkansas,1955000,27035,3185,23850,139,192,,574,2280,7044,15140,1666
1967,5,AR,Arkansas,1968000,32048,4320,27728,173,279,,693,3175,8735,17301,1692
1968,5,AR,Arkansas,2012000,39406,4360,35046,163,349,,796,3052,11463,21506,2077
1969,5,AR,Arkansas,1995000,43661,4390,39271,197,347,,885,2961,12989,24069,2213
1970,5,AR,Arkansas,1923295,46566,4276,42290,195,328,,877,2876,14606,25388,2296
1971,5,AR,Arkansas,1944000,45261,4680,40581,204,332,,947,3197,14014,24173,2394
1972,5,AR,Arkansas,1978000,46530,4840,41690,206,342,,1084,3208,14541,24891,2258
1973,5,AR,Arkansas,2037000,56149,5905,50244,180,398,,1456,3871,18088,29204,2952
1974,5,AR,Arkansas,2062000,68060,6521,61539,231,492,,1664,4134,22170,35989,3380
1975,5,AR,Arkansas,2116000,74909,7369,67540,213,547,,1854,4755,22791,41199,3550
1976,5,AR,Arkansas,2109000,71847,6410,65437,213,510,,1618,4069,19771,42474,3192
1977,5,AR,Arkansas,2144000,71633,6924,64709,188,592,,1784,4360,20852,39924,3933
1978,5,AR,Arkansas,2186000,75673,7522,68151,199,505,,1748,5070,21140,42647,4364
1979,5,AR,Arkansas,2180000,78933,7984,70949,198,595,,1626,5565,21457,45267,4225
1980,5,AR,Arkansas,2284037,87046,7656,79390,210,609,,1848,4989,25559,49558,4273
1981,5,AR,Arkansas,2294000,87091,7119,79972,209,577,,1776,4557,24732,50959,4281
1982,5,AR,Arkansas,2291000,88697,7438,81259,187,622,,1805,4824,24547,52450,4262
1983,5,AR,Arkansas,2328000,81493,6930,74563,178,586,,1614,4552,22380,48140,4043
1984,5,AR,Arkansas,2349000,79103,7549,71554,176,697,,1587,5089,20810,46807,3937
1985,5,AR,Arkansas,2359000,84571,8199,76372,187,686,,1617,5709,22207,49957,4208
1986,5,AR,Arkansas,2372000,93094,9365,83729,191,686,,1890,6598,24429,54677,4623
1987,5,AR,Arkansas,2388000,101376,9839,91537,182,779,,1890,6988,25743,60862,4932
1988,5,AR,Arkansas,2422000,102199,10237,91962,211,780,,2037,7209,26443,60363,5156
1989,5,AR,Arkansas,2406000,109610,11397,98213,203,924,,2660,7610,28738,63084,6391
1990,5,AR,Arkansas,2350725,114408,12511,101897,241,1019,,2661,8590,28464,66630,6803
1991,5,AR,Arkansas,2372000,122749,14072,108677,264,1058,,3217,9533,29093,71487,8097
1992,5,AR,Arkansas,2399000,114233,13831,100402,259,990,,3011,9571,26214,66288,7900
1993,5,AR,Arkansas,2424000,116612,14381,102231,247,1028,,3027,10079,26646,67767,7818
1994,5,AR,Arkansas,2453000,117713,14598,103115,294,1028,,3158,10118,26911,68478,7726
1995,5,AR,Arkansas,2484000,116521,13741,102780,259,925,,3122,9435,24763,69935,8082
1996,5,AR,Arkansas,2510000,117951,13161,104790,219,1046,,2864,9032,23925,73010,7855
1997,5,AR,Arkansas,2523000,119052,13293,105759,250,1098,,2814,9131,25568,72253,7938
1998,5,AR,Arkansas,2538000,108713,12442,96271,201,893,,2442,8906,23559,65525,7187
1999,5,AR,Arkansas,2551373,103131,10848,92283,143,710,,2024,7971,21692,63927,6664
2000,5,AR,Arkansas,2673400,110019,11904,98115,168,848,,2001,8887,21443,69740,6932
2001,5,AR,Arkansas,2694698,111296,12190,99106,148,892,,2181,8969,22196,69590,7320
2002,5,AR,Arkansas,2706268,112672,11501,101171,142,754,,2524,8081,23229,71129,6813
2003,5,AR,Arkansas,2727774,111533,12449,99084,180,911,,2227,9131,25016,68061,6007
2004,5,AR,Arkansas,2750000,124725,13814,110911,176,1183,,2372,10083,30151,74242,6518
2005,5,AR,Arkansas,2775708,127584,14670,112914,189,1202,,2532,10747,30118,75510,7286
2006,5,AR,Arkansas,2810872,127563,15538,112025,205,1325,,2749,11259,31864,72646,7515
2007,5,AR,Arkansas,2834797,127356,15226,112130,198,1294,,3105,10629,32035,73096,6999
2008,5,AR,Arkansas,2855390,125009,14649,110360,165,1463,,2777,10244,33912,69905,6543
2009,5,AR,Arkansas,2889450,123983,14905,109078,179,1378,,2576,10772,34753,68228,6097
2010,5,AR,Arkansas,2921588,118531,14711,103820,134,1321,,2369,10887,32463,65796,5561
2011,5,AR,Arkansas,2938582,124603,14173,110430,160,1230,,2357,10426,34016,70645,5769
2012,5,AR,Arkansas,2949828,123240,13851,109389,174,1233,,2310,10134,32673,70982,5734
2013,5,AR,Arkansas,2958765,120182,13705,106477,158,1135,1490,2261,9796,30369,70430,5678
2014,5,AR,Arkansas,2966835,113700,14248,99452,175,1291,1816,2037,10220,24816,69001,5635
2015,5,AR,Arkansas,2977853,113160,15769,97391,189,1425,2008,2117,11455,22851,68720,5820
2016,5,AR,Arkansas,2988231,114655,16563,98092,217,1600,2214,2125,12007,23814,67091,7187
2017,5,AR,Arkansas,3002997,111415,16996,94419,249,,2140,1998,12609,22369,64795,7255
2018,5,AR,Arkansas,3009733,106081,16904,89177,222,,2341,1593,12748,19520,62350,7307
2019,5,AR,Arkansas,3020985,103576,17547,86029,237,,2420,1576,13314,17706,60843,7480
2020,5,AR,Arkansas,3030522,99563,20363,79200,321,,2226,1577,16239,15854,55413,7933
1960,6,CA,California,15717204,546069,37558,508511,616,2859,,15287,18796,143102,311956,53453
1961,6,CA,California,16397000,559162,38154,521008,605,3033,,14832,19684,146615,319834,54559
1962,6,CA,California,16970000,604297,39846,564451,657,2946,,15598,20645,158523,348373,57555
1963,6,CA,California,17590000,666128,42419,623709,673,3080,,16458,22208,175703,384289,63717
1964,6,CA,California,18084000,748656,48026,700630,740,3621,,18667,24998,196883,427960,75787
1965,6,CA,California,18602000,803487,52490,750997,880,3948,,21081,26581,225007,444217,81773
1966,6,CA,California,18918000,860662,57718,802944,868,4432,,22317,30101,241666,474122,87156
1967,6,CA,California,19153000,968203,67446,900757,1039,4792,,28539,33076,276958,526477,97322
1968,6,CA,California,19221000,1099656,81293,1018363,1150,5744,,36991,37408,316081,582838,119444
1969,6,CA,California,19443000,1185961,89878,1096083,1386,7053,,39240,42199,325891,638249,131943
1970,6,CA,California,19953134,1264854,94741,1170113,1376,7005,,41277,45083,349788,682811,137514
1971,6,CA,California,20223000,1352941,104872,1248069,1642,7300,,47626,48304,392277,711417,144375
1972,6,CA,California,20468000,1312635,110667,1201968,1791,8127,,48829,51920,398960,663568,139440
1973,6,CA,California,20601000,1298872,116563,1182309,1862,8357,,49531,56813,407824,643488,130997
1974,6,CA,California,20907000,1431468,127658,1303810,1985,8494,,52822,64357,433194,737067,133549
1975,6,CA,California,21185000,1526293,138842,1387451,2209,8807,,59827,67999,469726,784639,133086
1976,6,CA,California,21520000,1556757,144041,1412716,2220,9614,,59318,72889,467980,806086,138650
1977,6,CA,California,21896000,1534621,154582,1380039,2515,10825,,62852,78390,468452,766317,145270
1978,6,CA,California,22294000,1586483,165626,1420857,2611,11316,,68235,83464,488966,777783,154108
1979,6,CA,California,22696000,1695108,184087,1511021,2952,12239,,75767,93129,496310,847148,167563
1980,6,CA,California,23532680,1843332,210290,1633042,3411,13693,,90420,102766,545138,913070,174834
1981,6,CA,California,24159000,1833787,208485,1625302,3143,13566,,93781,97995,540806,921939,162557
1982,6,CA,California,24724000,1801256,201429,1599827,2779,12529,,91988,94133,499466,935831,164530
1983,6,CA,California,25174000,1680978,194491,1486487,2639,12093,,85826,93933,460460,867123,158904
1984,6,CA,California,25622000,1657320,195589,1461731,2717,11702,,83924,97246,443094,857328,161309
1985,6,CA,California,26365000,1718473,201763,1516710,2770,11421,,86387,101185,448506,890967,177237
1986,6,CA,California,26981000,1824669,248370,1576299,3038,12119,,92512,140701,457698,913004,205597
1987,6,CA,California,27663000,1799871,253943,1545928,2924,12109,,83341,155569,419969,896335,229624
1988,6,CA,California,28168000,1869092,261912,1607180,2936,11780,,86141,161055,407631,933636,265913
1989,6,CA,California,29063000,1965652,284136,1681516,3158,11966,,96431,172581,410468,972603,298445
1990,6,CA,California,29760021,1965237,311051,1654186,3553,12688,,112208,182602,400392,951580,302214
1991,6,CA,California,30380000,2057513,331122,1726391,3859,12896,,124939,189428,424656,986120,315615
1992,6,CA,California,30867000,2061761,345624,1716137,3921,12761,,130897,198045,427491,968534,320112
1993,6,CA,California,31211000,2015265,336381,1678884,4096,11766,,126436,194083,414182,945407,319295
1994,6,CA,California,31431000,1940497,318395,1622102,3703,10984,,112160,191548,384257,929640,308205
1995,6,CA,California,31589000,1841984,305154,1536830,3531,10554,,104611,186458,353895,902456,280479
1996,6,CA,California,31878000,1660131,274996,1385135,2916,10244,,94222,167614,312212,830457,242466
1997,6,CA,California,32268000,1569949,257582,1312367,2579,10189,,81468,163346,299240,784405,228722
1998,6,CA,California,32667000,1418674,229883,1188791,2171,9782,,68782,149148,269012,724262,195517
1999,6,CA,California,33145121,1261164,207879,1053285,2005,9363,,60039,136472,223814,660991,168480
2000,6,CA,California,33871648,1266714,210531,1056183,2079,9785,,60249,138418,222293,651855,182035
2001,6,CA,California,34600463,1347056,212867,1134189,2206,9960,,64614,136087,232273,697739,204177
2002,6,CA,California,35001986,1384872,208388,1176484,2395,10198,,64968,130827,238428,715692,222364
2003,6,CA,California,35462712,1420637,205551,1215086,2407,9994,,63770,129380,242274,731486,241326
2004,6,CA,California,35842038,1416369,189175,1227194,2392,9615,,61768,115400,245903,728687,252604
2005,6,CA,California,36154147,1390709,190178,1200531,2503,9392,,63622,114661,250521,692467,257543
2006,6,CA,California,36457549,1354471,194483,1159988,2486,9235,,71142,111620,247230,669103,243655
2007,6,CA,California,36553215,1304071,191561,1112510,2262,9046,,70706,109547,237850,654526,220134
2008,6,CA,California,36756666,1266325,185329,1080996,2142,8903,,69388,104896,237811,650656,192529
2009,6,CA,California,36961664,1184367,174934,1009433,1972,8713,,64093,100156,230198,615402,163833
2010,6,CA,California,37338198,1146072,164133,981939,1809,8331,,58116,95877,228857,600558,152524
2011,6,CA,California,37683933,1128765,154943,973822,1792,7665,,54291,91195,230075,596905,146842
2012,6,CA,California,37999878,1210409,160944,1049465,1884,7837,,56521,94702,245767,635090,168608
2013,6,CA,California,38431393,1173646,154739,1018907,1746,7464,10324,53640,89029,232058,621557,165292
2014,6,CA,California,38792291,1100956,153763,947193,1700,8389,11578,48681,91804,202669,592673,151851
